fiber_node;address;coordinate
SM-00;JALAN PAPANDAYAN;https://maps.google.com/maps?q=-7.001491,110.483861&ll=-7.001491,110.483861&z=16
FWS000;HUB SEMARANG;-7.004542,110.427454
FWS024;PETOMPON AREA (1);-7.0004396,110.402959
FWS025;PETOMPON AREA (2);-6.9993016,110.4024099
FWS009;KARANGREJO AREA (1);-7.0258399,110.4188479
FWS011;MLATIHARJO AREA;-6.9704638,110.4416855
FWS002;CANDISARI AREA (2);-7.0106259,110.4268589
FWS001;CANDISARI AREA (1);-7.0068025,110.4273647
FWS005;GISIKDRONO (1);-6.997241,110.386063
FWS006;GISIKDRONO (2);-6.996213,110.385306
FWS037;CANDISARI AREA (4);-7.0051788,110.4295135
FWS020;BENDAN NGISOR AREA;-7.0065025,110.3992828
FWS027;BENDAN NGISOR AREA (2);-7.005992,110.396348
FWS040;GISIKDRONO AREA (3);-6.987931,110.389685
FWS021;GAJAH MUNGKUR AREA (3);-7.0101438,110.4116243
FWS031;MANYARAN AREA (4);-7.0092125,110.3855357
FWS032;MANYARAN AREA (5);-7.0116265,110.3858009
FWS026;TEGALSARI AREA (2);-7.009287,110.4248556
FWS022;MANYARAN AREA (1);-7.000082,110.388797
FWS023;MANYARAN AREA (2);-7.001029,110.385479
FWS028;MANYARAN AREA (3);-7.007114,110.383947
FWS030;CANDISARI AREA (3);-7.007033,110.430165
FWS038;LAMPER TENGAH AREA (1);-7.0087842,110.4423585
FWS039;LAMPER TENGAH AREA (2);-7.009266,110.4449209
FWS029;JOMBLANG AREA;-7.0113672,110.4399026
FWS033;KARANGANYAR GUNUNG (1);-7.0171342,110.4324202
FWS034;KARANGANYAR GUNUNG (2);-7.016729,110.435018
FWS047;NGEMPLAK SIMONGAN (1);-7.001798,110.39529
FWS048;NGEMPLAK SIMONGAN (2);-7.002935,110.39582
FWS051;KARANGANYAR GUNUNG (3);-7.0185204,110.4335536
FWS045;GISIKDRONO AREA (4);-6.988154,110.387776
FWS046;GISIKDRONO AREA (5);-6.990107,110.385438
FWS049;JATINGALEH AREA (1);-7.0250634,110.4246539
FWS050;JATINGALEH AREA (2);https://maps.google.com/maps?q=-7.027462,110.424308&ll=-7.027462,110.424308&z=16
FWS057;SARIREJO AREA (2);-6.979261,110.433186
FWS058;SARIREJO AREA (3);-6.983131,110.434838
FWS056;SARIREJO AREA (1);-6.977355,110.431299
FWS014;GAJAH MUNGKUR AREA (2);-7.011048,110.412144
FWS041;MANYARAN AREA (6);-6.9983706,110.3786421
FWS063;GAJAH MUNGKUR AREA (5);-7.0113234,110.4102135
FWS043;GAJAH MUNGKUR AREA (4);-7.014125,110.40851
FWS035;KARANGREJO AREA (2);-7.03065,110.416715
FWS055;WONODRI AREA (2);-7.003789,110.426363
FWS036;KARANGREJO AREA (3);-7.029198,110.412013
FWS060;LAMPER LOR AREA;-7.0067881,110.4405185
FWS044;PETOMPON AREA (3);-6.996127,110.404698
FWS059;LEMPONGSARI AREA;-6.9887526,110.4128967
FWS054;WONODRI AREA (1);-6.997575,110.429534
FWS066;SARIREJO AREA (4);-6.983005,110.431502
FWS062;KARANGKIDUL AREA (2);-6.9871679,110.427721
FWS061;KARANGKIDUL AREA (1);-6.9911953,110.4269303
FBL002;KRAPYAK AREA (2);-6.9844621,110.3666551
FBL011;KRAPYAK AREA (3);-6.985757,110.373415
FBL012;PURYOWOSO AREA (1);-6.996497,110.364548
FBL013;PURYOWOSO AREA (2);-6.996412,110.364037
FWS013;GAJAH MUNGKUR AREA (1);-7.011048,110.412144
FWS064;KARANGANYAR GUNUNG (4);-7.0281728,110.4305855
FBL005;PERUM PASADENA (3);-7.008015,110.370476
FBL006;PERUM PASADENA (4);-7.0071731,110.3724063
FBL007;PERUM PASADENA (5);-7.0086651,110.3726534
FBL008;PERUM PASADENA (6);-7.0095143,110.3711961
FBL003;PERUM PASADENA (1);-7.001208,110.367574
FBL004;PERUM PASADENA (2);-7.002854,110.369095
FWS070;PEKUNDEN AREA (1);-6.987156,110.423601
FWS077;LEMPONGSARI AREA (2);-7.0019081,110.41612
FSK009;TINJOMOYO AREA (1);-7.036736,110.417256
FBL030;PERUM PASADENA (8);-7.0039756,110.3709516
FSK007;NGESREP AREA (2);-7.035317,110.428047
FSK008;NGESREP AREA (3);-7.0344154,110.4270804
FWS072;SAMPANGAN AREA (1);-7.016159,110.393894
FBL029;PERUM PASADENA (7);-7.0054128,110.3702627
FSK010;TINJOMOYO AREA (2);-7.030916,110.412364
FWS067;JOMBLANG AREA (2);-7.0110051,110.4371243
FSK006;NGESREP AREA (1);-7.033869,110.4304303
FBL014;KEMBANG ARUM (1);-6.992273,110.371806
FBL015;KEMBANG ARUM (2);-6.989095,110.372011
FBL020;SUKOREJO AREA (3);-7.0270821,110.3797099
FBL021;SUKOREJO AREA (4);-7.0300036,110.378106
FWS074;PANDEAN LAMPER AREA (1);-6.997181,110.441581
FWS075;PANDEAN LAMPER AREA (2);-6.9900103,110.441798
FBL032;KEMBANG ARUM (7);-6.9984098,110.3738914
FBL022;SUKOREJO AREA (5);-7.0295895,110.3807177
FWS008;PERUM BENDAN DUWUR;-7.019927,110.390963
FBL019;SUKOREJO AREA (2);-7.020096,110.387225
FWS076;PANDEAN LAMPER AREA (3);-6.9900573,110.4428767
FWS082;MLATIHARJO AREA (2);-6.9675675,110.4396651
FWS081;LAMPER TENGAH AREA (3);-7.010064,110.443239
FWS085;PETOMPON AREA (4);-7.002846153241467,110.400650421
FBL016;KEMBANG ARUM (3);-6.994936,110.37242
FSK013;TINJOMOYO AREA (3);-7.044652,110.419319
FWS087;LAMPER LOR AREA (2);-7.0010826,110.4395415
FBL017;KEMBANG ARUM (4);-6.995095,110.373551
FBL031;KEMBANG ARUM (6);-7.0010834,110.374085
FWS086;PETOMPON AREA (5);-7.0042976610690095,110.40112114
FBL023;SUKOREJO AREA (6);-7.027715,110.382175
FBL033;KEMBANG ARUM (8);-6.998502,110.371767
FWS083;LAMPER TENGAH AREA (4);-7.0029541,110.4411016
FBL025;TAMBAKAJI AREA;-6.987008,110.356311
FBL034;KEMBANG ARUM (9);-6.997023,110.372969
FWS092;MANYARAN AREA (8);-6.999519,110.389302
FBL026;KEMBANG ARUM (5);-6.998736,110.377352
FBL037;KEMBANG ARUM (10);-6.989514,110.37386
FBL041;KEMBANG ARUM (12);-7.002686,110.375802
FBL038;SUKOREJO AREA (7);-7.0314939,110.3886211
FBL039;SUKOREJO AREA (8);-7.0331164,110.3912703
FBL042;PERUM PASADENA (9);-7.01200546,110.371547
FBL043;PERUM PASADENA (10);-7.01137696836944,110.3711209502
FBL046;PERUM PASADENA (13);-7.0112989648614095,110.37929956
FBL044;PERUM PASADENA (11);-7.017233948825261,110.382522003
FBL074;PERUM PASADENA (14);-7.00837241600671,110.3770689386
FSK014;TINJOMOYO AREA (4);-7.035577,110.407502
FSK015;TINJOMOYO AREA (5);-7.033675,110.404829
FBL040;KEMBANG ARUM (11);-6.999401,110.374537
FBL045;PERUM PASADENA (12);-7.018968742140565,110.381367046
FBL075;PERUM PASADENA (15);-7.016753,110.387316
FBL077;PERUM PASADENA (17);-7.13866,110.383965
FWS089;GAJAH MUNGKUR AREA (6);-7.007817,110.405798
FBL076;PERUM PASADENA (16);-7.015025,110.385332
FWS073;SAMPANGAN AREA (2);-7.011777,110.390935
FWS091;SAMPANGAN AREA (4);-7.009733,110.38931
FWS088;TEGALSARI AREA (3);-7.00549,110.425918
FWS095;KARANG KIDUL AREA (3);-6.992671,110.431836
FBL018;SUKOREJO AREA (1);-7.020885,110.387001
FBL047;SRIWIDODO AREA (1);-6.995926,110.366565
FSK016;NGESREP AREA (4);-7.036917,110.422621
FWS098;KALIBANTENG AREA (1);-6.994926,110.382337
FWS101;JOMBLANG AREA (3);-7.013034,110.440358
FWS104;BENDAN NGISOR AREA (3);-7.01352,110.396463
FWS105;BENDAN NGISOR AREA (4);-7.011813,110.396125
FWS090;SAMPANGAN AREA (3);-7.011306,110.3888
FSK017;NGESREP AREA (5);-7.032876,110.420727
FSK018;NGESREP AREA (6);-7.034421,110.420397
FWS068;LAMPER KIDUL AREA (1);-7.008794,110.435819
FBL048;SRIWIDODO AREA (2);-6.994093,110.350577
FWS107;WONOTINGGAL AREA (1);-7.010132,110.420386
FWS069;LAMPER KIDUL AREA (2);-7.0049637,110.4333705
FWS109;BONGSARI AREA (1);-6.992807,110.398783
FWS118;BUGANGAN AREA;-6.9704403,110.4359319
FWS099;KALIBANTENG AREA (2);-6.992505,110.382527
FWS117;SAMPANGAN AREA (5);-7.0114035,110.3944849
FWS120;REJOSARI AREA (1);-6.9759794,110.4372885
FWS121;REJOSARI AREA (2);-6.976361,110.4386397
FWS094;MUGAS SARI AREA (2);-6.989108,110.414148
FWS115;MLATIHARJO AREA (4);-6.96388,110.441298
FWS112;MANYARAN AREA (9);-7.001633,110.38254
FSU003;PONDOK HASANUDIN (1);-6.964492,110.413591
FSU004;PONDOK HASANUDIN (2);-6.962582,110.414938
FWS071;PEKUNDEN AREA (2);-6.985027,110.414133
FBL052;SRIWIDODO AREA (4);-7.002506,110.3716209
FWS114;MLATIHARJO AREA (3);-6.966154,110.442067
FWS129;BUGANGAN AREA (4);-6.971147,110.436867
FWS128;BUGANGAN AREA (3);-6.97156,110.43627
FSU005;KROBOKAN AREA (1);-6.976188,110.400115
FSU006;KROBOKAN AREA (2);-6.976127,110.397489
FSU007;KROBOKAN AREA (3);-6.973409,110.398409
FSU008;KROBOKAN AREA (4);-6.972284,110.396688
FSU013;KROBOKAN AREA (5);-6.975211,110.39739
FSU018;KROBOKAN AREA (6);-6.97051,110.400133
